Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CS Length,,N/A,0.403062,0.404961,0.411686,0.375339,0.416717,0.431058,0.426454,0.302415,0.415918,0.422621,0.402494,0.393394,0.383067,0.406316,0.394673,0.391203,0.437145,0.431533,0.403598,0.434329,0.453189,0.359221,0.421471,0.455991,0.569754,0.406334,0.421465,0.402320,0.441053,0.426817,0.402520,0.477449,0.414541,0.373420,0.372943,0.403993,0.430033,0.410694,0.405544,0.438147,0.401765,0.408457,0.435502,0.404018,0.594466,0.402900,0.386266,0.406174,0.402916,0.432177,0.371007,0.386932,0.428251,0.396170,0.418026,0.435473,0.406391,0.419838,0.403260,0.381935,0.393087,0.407291,0.440186,0.429536,0.408015,0.407040,0.364676,0.399282,0.407385,0.428192,0.433417,0.391913,0.428794,0.449505,0.402617,0.421469,0.402624,0.444599,0.406042,0.441641,0.444633,0.420620,0.356668,0.367714,0.415998,0.407336,0.430300,0.373437,0.400089,0.406759,0.439404,0.408974,0.395740,0.403686,0.418994,0.361369,0.402587,0.372734,0.427825,0.389843,0.417535,0.407186,0.431473,0.406786,0.432838,0.360992,0.447600,0.434300,0.407221,0.437365,0.431422,0.416059,0.442537,0.446027,0.407863,0.636554,0.378473,0.431448,0.432633,0.438302,0.400698,0.384050,0.383199,0.454066,0.407470,0.444909,0.591378,0.412835,0.402491,0.358053,0.705420,0.466293,0.420262,0.395508,0.423482,0.449570,0.369547,0.402658,0.444060,0.404343,0.375302,0.381514,0.408831,0.466464
BB Drop,,N/A,0.046941,0.045374,0.068256,0.068291,0.069518,0.072212,0.067594,0.000262,0.068051,0.084115,0.066460,0.059172,0.072188,0.061402,-0.034094,0.028062,0.060711,0.072129,0.070067,0.055626,0.061310,-0.026571,0.072698,0.010788,-0.030428,-0.000033,0.064181,0.053067,0.054400,0.061736,0.057347,0.103625,0.069313,0.051401,-0.000991,0.069858,0.067957,0.068477,0.068654,0.066632,0.070858,0.070217,0.071777,0.071661,0.048750,0.066939,0.049068,0.070762,0.051775,0.058546,0.044750,0.016762,0.070561,0.049531,0.069957,0.055380,0.066265,0.049306,0.067296,0.057225,0.006914,0.072179,0.060439,0.072183,0.068923,0.069451,0.047454,-0.041746,0.063219,0.071410,0.028634,0.023324,0.068314,0.072214,0.055420,0.023100,0.066886,0.074391,0.064642,0.053569,0.080832,0.049469,0.047932,-0.021300,0.072514,0.069751,0.075416,-0.001171,0.068014,0.067613,0.073781,0.067598,0.077115,0.072008,0.079583,0.053108,0.076067,0.068118,0.061627,0.064749,0.060664,0.061773,0.042745,0.068022,0.006302,0.019635,0.041972,0.048473,0.056474,0.066567,0.069603,0.065419,0.066076,0.032617,0.073360,0.029248,0.018562,0.052589,0.060353,0.042207,0.069922,0.001583,0.018866,0.065905,0.068289,0.068296,0.066957,0.073990,0.071175,-0.000502,-0.000739,0.039543,0.034460,0.050132,0.070779,0.037874,0.056107,0.067449,0.068749,0.070217,0.004917,-0.005223,0.046496,-0.018791
Stack,,m,0.56549,0.56564,0.56547,0.52712,0.56559,0.56553,0.58951,0.56556,0.62001,0.56557,0.58986,0.56576,0.56552,0.56557,0.56559,0.56552,0.58337,0.63537,0.52628,0.5654,0.52185,0.51642,0.56564,0.56557,0.56558,0.56564,0.56559,0.56561,0.63408,0.63189,0.56552,0.56561,0.63123,0.56584,0.56569,0.56591,0.56602,0.56598,0.55952,0.56532,0.5656,0.56557,0.5379,0.56563,0.56561,0.57088,0.56561,0.5656,0.56566,0.56558,0.56558,0.56557,0.56564,0.5651,0.56554,0.56531,0.56568,0.61909,0.52128,0.56563,0.56555,0.56559,0.61576,0.56593,0.51599,0.56557,0.56559,0.51976,0.56555,0.56542,0.60467,0.56562,0.56571,0.57946,0.56564,0.56562,0.56556,0.58395,0.56551,0.56558,0.61012,0.63626,0.56559,0.50461,0.56553,0.59562,0.6005,0.53803,0.57981,0.6196,0.60403,0.6274,0.56556,0.60874,0.62495,0.55444,0.56547,0.56566,0.62568,0.56559,0.56564,0.5656,0.60571,0.56579,0.56544,0.56553,0.56558,0.5657,0.5656,0.5708,0.56518,0.56549,0.63256,0.56566,0.52809,0.56558,0.56554,0.56563,0.56589,0.61588,0.56569,0.56558,0.5656,0.56555,0.56555,0.62644,0.56565,0.56577,0.57729,0.56554,0.56565,0.5655,0.56555,0.56554,0.56565,0.56569,0.56566,0.56572,0.58724,0.60513,0.56559,0.50384,0.56566,0.54365
SS E,,N/A,0.209030,0.047341,0.044585,0.225274,0.047958,0.043043,0.043039,0.018799,0.046374,0.044822,0.044148,0.046742,0.027358,0.047594,0.231948,0.044244,0.076407,0.046179,0.043241,0.045348,0.017292,0.045261,0.043923,0.043614,0.044514,0.047630,0.048694,0.044110,0.045388,0.054599,0.041384,0.032346,0.043874,0.132538,0.060693,0.045583,0.249424,0.044312,0.043981,0.061001,0.045942,0.046925,0.071689,0.044625,0.045432,0.051344,0.043141,0.044099,0.044905,0.045395,0.075229,0.045440,0.070332,0.121538,0.043025,0.036869,0.044097,0.084530,0.045934,0.048326,0.044583,0.044823,0.064735,0.024478,0.043483,0.044024,0.023215,0.046702,0.044082,0.044797,0.057323,0.043562,0.046071,0.045058,0.160930,0.069202,0.047221,0.044035,0.047802,0.025547,0.045234,0.043729,0.072492,0.045297,0.043944,0.044449,0.028842,0.042628,0.067127,0.042780,0.042782,0.044258,0.047765,0.043503,0.044367,0.231523,0.045759,0.045670,0.063191,0.044418,0.046163,0.068263,0.045024,0.041722,0.057875,0.025761,0.048079,0.045110,0.044100,0.043706,0.043252,0.044427,0.065393,0.055214,0.042248,0.042643,0.046651,0.045056,0.025025,0.062433,0.020838,0.058449,0.267244,0.046622,0.046020,0.045877,0.043929,0.046584,0.085567,0.045501,0.049681,0.055390,0.042996,0.043394,0.046854,0.178234,0.044579,0.045508,0.046092,0.046062,0.044787,0.044883,0.210201,0.216356
ST Angle,,N/A,1.293070,1.279839,1.291443,1.272249,1.277498,1.275041,1.250381,1.300755,1.283186,1.162850,1.260699,1.362893,1.286364,1.308003,1.254531,1.293765,1.245709,1.258839,1.278442,1.315022,1.300202,1.308925,1.276331,1.278475,1.294422,1.275690,1.273496,1.286395,1.268947,1.248132,1.293232,1.094978,1.288914,0.832829,1.281195,1.312401,1.277543,1.290611,1.275125,1.345408,1.277175,1.279176,1.274479,1.288505,1.290926,1.297917,1.279954,1.298211,1.312743,1.296119,1.383187,1.303509,1.258627,1.277394,1.276621,1.230615,1.289316,1.266043,1.298021,1.301981,1.289965,1.289797,1.266311,1.231751,1.294060,1.282765,1.316842,1.311740,1.262044,1.281795,1.277988,1.234017,1.299228,1.272159,1.386673,1.294548,1.280538,1.267990,1.272212,1.288404,1.280790,1.288057,1.286967,1.306390,1.273863,1.249616,1.287140,1.285265,1.293913,1.270013,1.291991,1.266470,1.317624,1.304264,1.256697,1.370253,1.266610,1.293799,1.277323,1.329362,1.288949,1.329061,1.287054,1.275548,1.178044,1.398457,1.266876,1.283596,1.301165,1.270003,1.279621,1.275331,1.175514,1.242998,1.281452,1.280948,1.294800,0.603051,1.303566,1.274216,1.281541,1.217630,1.338834,1.291038,1.287958,1.223780,1.310114,1.280376,1.273889,1.294302,1.170717,1.277458,1.287833,1.297017,1.270953,1.327955,1.285924,1.279904,1.292633,1.291628,1.293927,1.296979,1.291432,1.435252
BB OD,,m,0.04017,0.04011,0.04009,0.04074,0.03998,0.0398,0.03977,0.04003,0.0403,0.04017,0.03962,0.04011,0.0399,0.04015,0.03981,0.03983,0.04063,0.03985,0.03934,0.03573,0.03882,0.04012,0.03971,0.04023,0.03978,0.03959,0.03957,0.03991,0.0402,0.04035,0.0398,0.03984,0.03995,0.03849,0.03993,0.04,0.04767,0.04003,0.03994,0.04594,0.03977,0.03926,0.03989,0.0395,0.04013,0.0404,0.04032,0.04017,0.03971,0.04032,0.04065,0.04015,0.04012,0.03977,0.04058,0.0402,0.03986,0.04007,0.04017,0.04012,0.04007,0.03994,0.0404,0.03935,0.04011,0.03973,0.04009,0.04111,0.03999,0.04002,0.03974,0.0397,0.0397,0.03962,0.0401,0.03262,0.04018,0.03982,0.03981,0.03869,0.0405,0.03892,0.03942,0.04037,0.04012,0.03947,0.05027,0.03995,0.03978,0.04063,0.0394,0.04027,0.0397,0.03972,0.0398,0.04056,0.04883,0.04025,0.03986,0.0403,0.04029,0.03998,0.04023,0.04001,0.04063,0.04032,0.03984,0.03987,0.04044,0.0404,0.0401,0.03969,0.0492,0.04008,0.03998,0.03815,0.03987,0.03982,0.03893,0.04024,0.0405,0.03999,0.0398,0.03884,0.0402,0.03982,0.03987,0.04,0.0397,0.04006,0.04,0.04072,0.04065,0.04003,0.04005,0.04014,0.03982,0.03976,0.04004,0.03951,0.03998,0.03985,0.04028,0.0398
TT OD,,m,0.03705,0.02777,0.02994,0.02896,0.02985,0.02991,0.02992,0.02995,0.02807,0.02968,0.0297,0.02873,0.0274,0.03009,0.0341,0.02915,0.02874,0.03006,0.02794,0.02776,0.02864,0.02866,0.02766,0.03045,0.0298,0.03047,0.0283,0.02699,0.03073,0.02857,0.02835,0.02829,0.0297,0.02893,0.04112,0.02857,0.02816,0.02914,0.02873,0.02942,0.0275,0.02907,0.03463,0.02762,0.02843,0.02705,0.0292,0.02818,0.02891,0.02865,0.03694,0.02823,0.0419,0.0284,0.02832,0.02857,0.02859,0.02884,0.02785,0.02735,0.03889,0.02803,0.03775,0.0284,0.0271,0.0283,0.02811,0.02912,0.03011,0.02894,0.02785,0.02792,0.02699,0.02924,0.02894,0.03915,0.02644,0.02817,0.0313,0.02539,0.02821,0.02707,0.02835,0.02826,0.02734,0.02963,0.02972,0.02769,0.02802,0.02729,0.0289,0.02841,0.0282,0.0299,0.02817,0.02917,0.02518,0.02935,0.03142,0.02837,0.02771,0.04331,0.03638,0.02872,0.02893,0.02916,0.03001,0.02901,0.02758,0.02896,0.02819,0.02821,0.02686,0.02819,0.02802,0.02926,0.02729,0.03085,0.0284,0.03846,0.02707,0.0375,0.02926,0.01514,0.02994,0.02995,0.02989,0.02888,0.03007,0.02787,0.02837,0.03534,0.02904,0.02721,0.02956,0.03102,0.02767,0.02937,0.02857,0.02898,0.03003,0.03026,0.02887,0.02956
HT OD,,m,0.04917,0.04551,0.04595,0.04494,0.04446,0.04456,0.04427,0.04434,0.03548,0.04502,0.03862,0.04495,0.0319,0.04541,0.04812,0.04507,0.0455,0.04264,0.04513,0.04383,0.03173,0.04451,0.03314,0.04562,0.04572,0.04496,0.04522,0.03417,0.03946,0.03083,0.04568,0.0453,0.05107,0.0319,0.04502,0.04497,0.05017,0.03648,0.04403,0.04398,0.04541,0.0352,0.04507,0.03578,0.03286,0.04411,0.04455,0.04598,0.04553,0.04459,0.0499,0.04516,0.05315,0.03199,0.04617,0.0326,0.04342,0.04457,0.04485,0.0405,0.04574,0.03952,0.04891,0.03295,0.04588,0.0452,0.04416,0.04223,0.04468,0.0445,0.05031,0.04461,0.04454,0.0369,0.04443,0.04192,0.04472,0.04592,0.04545,0.03481,0.03904,0.03991,0.03258,0.04248,0.03437,0.0456,0.03483,0.04594,0.0553,0.03456,0.0387,0.04445,0.03141,0.04606,0.04543,0.05258,0.03316,0.03638,0.04951,0.04494,0.04573,0.05461,0.05961,0.03404,0.04227,0.04548,0.04954,0.04436,0.04491,0.0405,0.0462,0.04504,0.0343,0.04519,0.04514,0.03453,0.03926,0.0451,0.0322,0.0505,0.02958,0.05036,0.04503,0.03339,0.04601,0.04506,0.04145,0.04313,0.05687,0.04617,0.04455,0.04618,0.04483,0.03404,0.04442,0.03978,0.03452,0.03857,0.04453,0.04381,0.04429,0.04029,0.04388,0.04557
DT OD,,m,0.04783,0.03751,0.03639,0.03704,0.03564,0.03681,0.0369,0.03688,0.03616,0.03623,0.0348,0.03525,0.03735,0.03729,0.03579,0.0362,0.03635,0.03634,0.03776,0.0355,0.03597,0.03719,0.03605,0.03597,0.03615,0.0359,0.03672,0.0355,0.03722,0.03764,0.03734,0.0378,0.03577,0.03483,0.04654,0.03714,0.03547,0.03659,0.03708,0.03694,0.03608,0.03637,0.03774,0.03637,0.03608,0.03663,0.0358,0.03546,0.03619,0.0371,0.04317,0.03674,0.05124,0.03631,0.03628,0.0357,0.03821,0.03679,0.03594,0.03627,0.04413,0.03487,0.0462,0.0358,0.03663,0.03527,0.03508,0.03666,0.03625,0.03694,0.03693,0.03625,0.0363,0.0364,0.03686,0.03566,0.03666,0.03675,0.03662,0.0356,0.03633,0.03738,0.03523,0.03582,0.03654,0.0366,0.03658,0.03568,0.03614,0.03611,0.03687,0.03666,0.03571,0.03601,0.03757,0.03705,0.03706,0.03496,0.03733,0.03687,0.03664,0.0365,0.05646,0.03685,0.03661,0.03107,0.04156,0.03632,0.03678,0.03652,0.03658,0.03627,0.03635,0.03723,0.03665,0.0366,0.03562,0.05175,0.03666,0.04279,0.03643,0.0452,0.03612,0.0367,0.03622,0.03699,0.03626,0.03574,0.03682,0.03637,0.03639,0.03638,0.0362,0.0362,0.03595,0.03648,0.03673,0.03583,0.03619,0.0362,0.03672,0.03629,0.03732,0.03699
